;2010/11;;;2011/12;;;2012/13;;;2013/14;;;2014/15;;;;
Column1;2010-2011;Column3;M.Goles.T;Column4;Column5;M.Goles.T2;Column6;Column7;M.Goles.T3;Column8;Column9;M.Goles.T4;Column10;Column11;M.Goles.T5;;
;2010-11H;2010-11A;;2011-12H;2011-12A;;2012-13H;2012-13A;;2013-14H;2013-14A;;2014-15H;2014-15A;;;
Arsenal;11;8;;12;9;2,53;11;10;0,64;13;11;0,17;12;10;1,33;;
Bournemouth;;;;;;;;;;;;;;;;;
Burnley;;;;;;;;;;;;;4;3;0,77;;
Chelsea;14;7;0,48;12;6;1,26;12;10;0,47;15;10;1,17;15;11;1,34;;
Crystal Palace;;;;;;1,60;;;;8;5;0,52;6;7;1,75;;
Everton;9;4;0,43;10;5;2,62;12;4;1,51;13;8;1,29;7;5;1,26;;
Hull City;;;;;;;;;;7;3;0,55;5;3;0,17;;
Leicester City;;;;;;1,83;;;;;;;7;4;0,27;;
Liverpool;12;5;2,17;6;8;2,31;9;7;2,10;16;10;1,17;10;8;2,76;;
Manchester City;13;8;1,70;18;10;1,74;14;9;0,88;17;10;2,80;14;10;2,34;;
Manchester United;18;5;0,46;15;13;1,33;16;12;2,60;9;10;0,25;14;6;0,92;;
Middlesbrough;;;;;;;;;;;;;;;;;
Southampton;;;;;;;6;3;1,42;8;7;2,43;11;7;0,67;;
Stoke City;10;3;0,57;7;4;1,20;7;2;0,84;10;3;2,75;10;5;2,16;;
Sunderland;7;5;0,87;7;4;0,69;5;4;0,50;5;5;2,06;4;3;1,35;;
Swansea;;;0,84;8;4;0,13;6;5;2,72;6;5;1,52;9;7;0,51;;
Tottenham Hotspur;9;7;0,14;13;7;1,53;11;10;1,65;11;10;1,29;10;9;0,48;;
Watford;;;;;;;;;;;;;;;;;
West Brom;8;4;2,19;6;7;2,25;9;5;0,27;4;3;0,22;7;4;0,65;;
West Ham;5;2;0,48;;;;9;3;1,85;7;4;2,70;9;3;1,85;;
2010-11 R1;5.5;5;;7;4;;4;2;;5;2;;6;2;1,55;;
Fin de Liga;;26/05/2011;;;03/05/2012;;;18/05/2013;;;14/05/2014;;;28/05/2015;;;
;;;;;;;;;;;;;;;;;
